MFile 0 1 480
MTrk
0 SMPTE 96 0 0 0 0
0 TimeSig 4/4 24 8
0 KeySig 0 major
0 Tempo 500000
0 Par ch=1 c=64 v=127
0 Par ch=1 c=64 v=0
0 Par ch=1 c=64 v=127
0 On ch=1 n=f#6 v=52
0 On ch=1 n=c#4 v=16
202 Off ch=1 n=c#4 v=64
366 Off ch=1 n=f#6 v=64
526 On ch=1 n=g#5 v=12
546 On ch=1 n=f5 v=15
754 Off ch=1 n=f5 v=64
778 Off ch=1 n=g#5 v=64
846 On ch=1 n=f6 v=55
898 On ch=1 n=c#5 v=15
1008 Off ch=1 n=c#5 v=64
1128 On ch=1 n=g#4 v=28
1152 On ch=1 n=f5 v=19
1266 Off ch=1 n=f5 v=64
1284 Off ch=1 n=g#4 v=64
1380 On ch=1 n=d#6 v=68
1416 Off ch=1 n=f6 v=64
1668 On ch=1 n=f5 v=25
1736 Off ch=1 n=f5 v=64
1936 On ch=1 n=c#6 v=52
1952 Off ch=1 n=d#6 v=64
1954 On ch=1 n=c#4 v=17
1994 Par ch=1 c=64 v=0
2132 Par ch=1 c=64 v=127
2144 Off ch=1 n=c#4 v=64
2296 On ch=1 n=f5 v=15
2296 On ch=1 n=g#5 v=29
2466 Off ch=1 n=g#5 v=64
2524 Off ch=1 n=f5 v=64
2562 Off ch=1 n=c#6 v=64
2570 On ch=1 n=c6 v=52
2610 On ch=1 n=c#5 v=26
2696 Off ch=1 n=c#5 v=64
2834 On ch=1 n=f5 v=27
2870 On ch=1 n=g#4 v=16
2918 Off ch=1 n=f5 v=64
3050 Off ch=1 n=g#4 v=64
3080 On ch=1 n=a#5 v=60
3128 Off ch=1 n=c6 v=64
3368 Off ch=1 n=a#5 v=64
3372 On ch=1 n=f5 v=25
3538 Off ch=1 n=f5 v=64
3682 On ch=1 n=g5 v=54
3704 On ch=1 n=c#4 v=18
3730 Par ch=1 c=64 v=0
3992 Par ch=1 c=64 v=127
4004 On ch=1 n=e5 v=38
4048 Off ch=1 n=c#4 v=64
4094 Off ch=1 n=e5 v=64
4302 Off ch=1 n=g5 v=64
4320 On ch=1 n=g#5 v=44
4606 Par ch=1 c=64 v=0
4608 On ch=1 n=c#5 v=24
4776 Par ch=1 c=64 v=127
4852 On ch=1 n=a#5 v=50
4890 Off ch=1 n=c#5 v=64
4893 On ch=1 n=g#4 v=24
4906 Off ch=1 n=g#5 v=64
5058 Off ch=1 n=g#4 v=64
5142 On ch=1 n=f5 v=34
5212 Off ch=1 n=a#5 v=64
5406 Off ch=1 n=f5 v=64
5446 On ch=1 n=c6 v=45
5452 Par ch=1 c=64 v=0
5460 On ch=1 n=c#4 v=28
5614 Off ch=1 n=c#4 v=64
5636 Par ch=1 c=64 v=127
5750 On ch=1 n=f5 v=31
5759 On ch=1 n=g#5 v=32
5988 Off ch=1 n=c6 v=64
5998 Off ch=1 n=f5 v=64
6102 On ch=1 n=c#6 v=43
6142 On ch=1 n=c#5 v=19
6374 Par ch=1 c=64 v=0
6392 On ch=1 n=f5 v=21
6440 On ch=1 n=g#4 v=27
6558 Par ch=1 c=64 v=127
6569 Off ch=1 n=g#5 v=64
6616 Off ch=1 n=f5 v=64
6676 Off ch=1 n=c#5 v=64
6700 On ch=1 n=d#6 v=45
6776 Off ch=1 n=c#6 v=64
6814 Off ch=1 n=g#4 v=64
7000 On ch=1 n=f5 v=18
7082 Off ch=1 n=f5 v=64
7160 Off ch=1 n=d#6 v=64
7450 On ch=1 n=f#6 v=57
7494 On ch=1 n=c#4 v=19
7494 Par ch=1 c=64 v=0
7690 Off ch=1 n=c#4 v=64
7710 Par ch=1 c=64 v=127
7844 Off ch=1 n=f#6 v=64
7858 On ch=1 n=g#5 v=22
7892 On ch=1 n=f5 v=30
7988 Off ch=1 n=f5 v=64
8208 On ch=1 n=f6 v=72
8238 On ch=1 n=c#5 v=21
8340 Off ch=1 n=c#5 v=64
8374 Off ch=1 n=g#5 v=64
8502 On ch=1 n=f5 v=29
8516 On ch=1 n=g#4 v=23
8578 Off ch=1 n=f5 v=64
8684 Off ch=1 n=g#4 v=64
8762 Off ch=1 n=f6 v=64
8770 On ch=1 n=d#6 v=72
8962 Off ch=1 n=d#6 v=64
9014 On ch=1 n=f5 v=38
9084 Off ch=1 n=f5 v=64
9156 On ch=1 n=c#6 v=48
9210 Off ch=1 n=c#6 v=64
9228 On ch=1 n=d#6 v=55
9272 On ch=1 n=c#4 v=24
9277 On ch=1 n=c#6 v=59
9277 Par ch=1 c=64 v=0
9326 Off ch=1 n=d#6 v=64
9452 Off ch=1 n=c#4 v=64
9478 Par ch=1 c=64 v=127
9568 On ch=1 n=g#5 v=43
9578 On ch=1 n=f5 v=31
9680 Off ch=1 n=g#5 v=64
9746 Off ch=1 n=f5 v=64
9820 On ch=1 n=c6 v=67
9836 Off ch=1 n=c#6 v=64
9864 On ch=1 n=c#5 v=29
9938 Off ch=1 n=c#5 v=64
10088 On ch=1 n=f5 v=30
10118 On ch=1 n=g#4 v=25
10288 Off ch=1 n=g#4 v=64
10302 Off ch=1 n=f5 v=64
10305 On ch=1 n=a#5 v=61
10426 Off ch=1 n=c6 v=64
10592 On ch=1 n=f5 v=25
10726 Off ch=1 n=f5 v=64
10830 Par ch=1 c=64 v=0
10844 On ch=1 n=g#5 v=64
10858 On ch=1 n=c#4 v=31
10920 Off ch=1 n=a#5 v=64
11054 Off ch=1 n=c#4 v=64
11090 Par ch=1 c=64 v=127
11200 Off ch=1 n=g#5 v=64
11208 On ch=1 n=a#5 v=54
11218 On ch=1 n=e5 v=36
11326 Off ch=1 n=a#5 v=64
11440 Off ch=1 n=e5 v=64
11518 On ch=1 n=g5 v=69
11582 On ch=1 n=c#5 v=17
11668 Off ch=1 n=c#5 v=64
11792 On ch=1 n=e5 v=48
11806 On ch=1 n=a#4 v=15
11874 Off ch=1 n=g5 v=64
11958 Off ch=1 n=a#4 v=64
12014 Off ch=1 n=e5 v=64
12032 On ch=1 n=g#5 v=69
12316 On ch=1 n=e5 v=36
12382 Off ch=1 n=g#5 v=64
12566 Par ch=1 c=64 v=0
12569 On ch=1 n=a#5 v=60
12580 Off ch=1 n=e5 v=64
12586 On ch=1 n=c#4 v=25
12742 Off ch=1 n=c#4 v=64
12766 Par ch=1 c=64 v=127
12816 Off ch=1 n=a#5 v=64
12888 On ch=1 n=a#5 v=41
12912 On ch=1 n=e5 v=18
12960 Off ch=1 n=a#5 v=64
13100 Off ch=1 n=e5 v=64
13172 On ch=1 n=c6 v=55
13218 On ch=1 n=c#5 v=13
13308 Off ch=1 n=c#5 v=64
13446 On ch=1 n=e5 v=37
13468 On ch=1 n=a#4 v=13
13566 Off ch=1 n=e5 v=64
13592 Off ch=1 n=a#4 v=64
13720 On ch=1 n=c#6 v=53
13762 Off ch=1 n=c6 v=64
14046 On ch=1 n=e5 v=32
14130 Off ch=1 n=e5 v=64
14210 Off ch=1 n=c#6 v=64
14394 Par ch=1 c=64 v=0
14422 On ch=1 n=d6 v=59
14422 On ch=1 n=c4 v=23
14602 Off ch=1 n=c4 v=64
14608 Par ch=1 c=64 v=127
14766 On ch=1 n=f#5 v=42
14776 On ch=1 n=d#5 v=33
14832 Off ch=1 n=f#5 v=64
14874 Off ch=1 n=d#5 v=64
14914 Off ch=1 n=d6 v=64
15032 On ch=1 n=d#6 v=64
15060 On ch=1 n=c5 v=34
15152 Off ch=1 n=c5 v=64
15306 On ch=1 n=d#5 v=27
15342 On ch=1 n=a4 v=27
15428 Off ch=1 n=d#5 v=64
15620 On ch=1 n=c#6 v=62
15628 Off ch=1 n=a4 v=64
15680 Off ch=1 n=d#6 v=64
15874 On ch=1 n=d#5 v=41
15932 Off ch=1 n=d#5 v=64
16110 On ch=1 n=c6 v=71
16122 Off ch=1 n=c#6 v=64
16130 Par ch=1 c=64 v=0
16132 On ch=1 n=c#4 v=38
