MFile 1 4 240
MTrk
0 TimeSig 3/4 24 8
0 Tempo 472441
57120 Tempo 571429
57360 Tempo 722892
57360 Meta TrkEnd
TrkEnd
MTrk
0 Meta TrkName "RH"
0 On ch=1 n=g5 v=64
0 On ch=1 n=g6 v=64
192 Off ch=1 n=g6 v=64
192 Off ch=1 n=g5 v=64
240 On ch=1 n=g5 v=64
240 On ch=1 n=g6 v=64
336 Off ch=1 n=g6 v=64
336 Off ch=1 n=g5 v=64
360 On ch=1 n=f#6 v=64
360 On ch=1 n=f#5 v=64
456 Off ch=1 n=f#5 v=64
456 Off ch=1 n=f#6 v=64
480 On ch=1 n=g5 v=64
480 On ch=1 n=g6 v=64
672 Off ch=1 n=g6 v=64
672 Off ch=1 n=g5 v=64
720 On ch=1 n=d6 v=64
720 On ch=1 n=d7 v=64
912 Off ch=1 n=d7 v=64
912 Off ch=1 n=d6 v=64
960 On ch=1 n=d7 v=64
960 On ch=1 n=d6 v=64
1152 Off ch=1 n=d6 v=64
1152 Off ch=1 n=d7 v=64
1200 On ch=1 n=d6 v=64
1200 On ch=1 n=d7 v=64
1392 Off ch=1 n=d7 v=64
1392 Off ch=1 n=d6 v=64
1440 On ch=1 n=d6 v=64
1440 On ch=1 n=d7 v=64
1488 Off ch=1 n=d7 v=64
1488 Off ch=1 n=d6 v=64
1500 On ch=1 n=c6 v=64
1500 On ch=1 n=c7 v=64
1644 Off ch=1 n=c7 v=64
1644 Off ch=1 n=c6 v=64
1680 On ch=1 n=c6 v=64
1680 On ch=1 n=c7 v=64
1776 Off ch=1 n=c7 v=64
1776 Off ch=1 n=c6 v=64
1800 On ch=1 n=b5 v=64
1800 On ch=1 n=b6 v=64
1896 Off ch=1 n=b6 v=64
1896 Off ch=1 n=b5 v=64
1920 On ch=1 n=c6 v=64
1920 On ch=1 n=c7 v=64
2112 Off ch=1 n=c7 v=64
2112 Off ch=1 n=c6 v=64
2160 On ch=1 n=d5 v=64
2160 On ch=1 n=d6 v=64
2484 Off ch=1 n=d6 v=64
2484 Off ch=1 n=d5 v=64
2880 On ch=1 n=d5 v=64
2880 On ch=1 n=d6 v=64
3072 Off ch=1 n=d6 v=64
3072 Off ch=1 n=d5 v=64
3120 On ch=1 n=d6 v=64
3120 On ch=1 n=d5 v=64
3216 Off ch=1 n=d5 v=64
3216 Off ch=1 n=d6 v=64
3240 On ch=1 n=c#6 v=64
3240 On ch=1 n=c#5 v=64
3336 Off ch=1 n=c#5 v=64
3336 Off ch=1 n=c#6 v=64
3360 On ch=1 n=d5 v=64
3360 On ch=1 n=d6 v=64
3468 Off ch=1 n=d6 v=64
3468 Off ch=1 n=d5 v=64
3600 On ch=1 n=c7 v=64
3600 On ch=1 n=c6 v=64
3792 Off ch=1 n=c6 v=64
3792 Off ch=1 n=c7 v=64
3840 On ch=1 n=c6 v=64
3840 On ch=1 n=c7 v=64
4032 Off ch=1 n=c7 v=64
4032 Off ch=1 n=c6 v=64
4080 On ch=1 n=c6 v=64
4080 On ch=1 n=c7 v=64
4272 Off ch=1 n=c7 v=64
4272 Off ch=1 n=c6 v=64
4320 On ch=1 n=c6 v=64
4320 On ch=1 n=c7 v=64
4368 Off ch=1 n=c7 v=64
4368 Off ch=1 n=c6 v=64
4380 On ch=1 n=b6 v=64
4380 On ch=1 n=b5 v=64
4524 Off ch=1 n=b5 v=64
4524 Off ch=1 n=b6 v=64
4560 On ch=1 n=b5 v=64
4560 On ch=1 n=b6 v=64
4656 Off ch=1 n=b6 v=64
4656 Off ch=1 n=b5 v=64
4680 On ch=1 n=a5 v=64
4680 On ch=1 n=a6 v=64
4776 Off ch=1 n=a6 v=64
4776 Off ch=1 n=a5 v=64
4800 On ch=1 n=b5 v=64
4800 On ch=1 n=b6 v=64
4992 Off ch=1 n=b6 v=64
4992 Off ch=1 n=b5 v=64
5040 On ch=1 n=g5 v=64
5040 On ch=1 n=g6 v=64
5364 Off ch=1 n=g6 v=64
5364 Off ch=1 n=g5 v=64
5760 On ch=1 n=g6 v=64
5760 On ch=1 n=g5 v=64
5952 Off ch=1 n=g5 v=64
5952 Off ch=1 n=g6 v=64
6000 On ch=1 n=g6 v=64
6000 On ch=1 n=g5 v=64
6096 Off ch=1 n=g5 v=64
6096 Off ch=1 n=g6 v=64
6120 On ch=1 n=f#5 v=64
6120 On ch=1 n=f#6 v=64
6216 Off ch=1 n=f#6 v=64
6216 Off ch=1 n=f#5 v=64
6240 On ch=1 n=g6 v=64
6240 On ch=1 n=g5 v=64
6432 Off ch=1 n=g5 v=64
6432 Off ch=1 n=g6 v=64
6480 On ch=1 n=d7 v=64
6480 On ch=1 n=d6 v=64
6672 Off ch=1 n=d6 v=64
6672 Off ch=1 n=d7 v=64
6720 On ch=1 n=d6 v=64
6720 On ch=1 n=d7 v=64
6912 Off ch=1 n=d7 v=64
6912 Off ch=1 n=d6 v=64
6960 On ch=1 n=d7 v=64
6960 On ch=1 n=d6 v=64
7152 Off ch=1 n=d6 v=64
7152 Off ch=1 n=d7 v=64
7200 On ch=1 n=d7 v=64
7200 On ch=1 n=d6 v=64
7248 Off ch=1 n=d6 v=64
7248 Off ch=1 n=d7 v=64
7260 On ch=1 n=c7 v=64
7260 On ch=1 n=c6 v=64
7404 Off ch=1 n=c6 v=64
7404 Off ch=1 n=c7 v=64
7440 On ch=1 n=c7 v=64
7440 On ch=1 n=c6 v=64
7536 Off ch=1 n=c6 v=64
7536 Off ch=1 n=c7 v=64
7560 On ch=1 n=b6 v=64
7560 On ch=1 n=b5 v=64
7656 Off ch=1 n=b5 v=64
7656 Off ch=1 n=b6 v=64
7680 On ch=1 n=c7 v=64
7680 On ch=1 n=c6 v=64
7872 Off ch=1 n=c6 v=64
7872 Off ch=1 n=c7 v=64
7920 On ch=1 n=d6 v=64
7920 On ch=1 n=d5 v=64
8244 Off ch=1 n=d5 v=64
8244 Off ch=1 n=d6 v=64
8640 On ch=1 n=d6 v=64
8640 On ch=1 n=d5 v=64
8832 Off ch=1 n=d5 v=64
8832 Off ch=1 n=d6 v=64
8880 On ch=1 n=d5 v=64
8880 On ch=1 n=d6 v=64
8976 Off ch=1 n=d6 v=64
8976 Off ch=1 n=d5 v=64
9000 On ch=1 n=c#5 v=64
9000 On ch=1 n=c#6 v=64
9096 Off ch=1 n=c#6 v=64
9096 Off ch=1 n=c#5 v=64
9120 On ch=1 n=d6 v=64
9120 On ch=1 n=d5 v=64
9228 Off ch=1 n=d5 v=64
9228 Off ch=1 n=d6 v=64
9360 On ch=1 n=c6 v=64
9360 On ch=1 n=c7 v=64
9552 Off ch=1 n=c7 v=64
9552 Off ch=1 n=c6 v=64
9600 On ch=1 n=c7 v=64
9600 On ch=1 n=c6 v=64
9792 Off ch=1 n=c6 v=64
9792 Off ch=1 n=c7 v=64
9840 On ch=1 n=c7 v=64
9840 On ch=1 n=c6 v=64
10032 Off ch=1 n=c6 v=64
10032 Off ch=1 n=c7 v=64
10080 On ch=1 n=c7 v=64
10080 On ch=1 n=c6 v=64
10128 Off ch=1 n=c6 v=64
10128 Off ch=1 n=c7 v=64
10140 On ch=1 n=b5 v=64
10140 On ch=1 n=b6 v=64
10284 Off ch=1 n=b6 v=64
10284 Off ch=1 n=b5 v=64
10320 On ch=1 n=b6 v=64
10320 On ch=1 n=b5 v=64
10416 Off ch=1 n=b5 v=64
10416 Off ch=1 n=b6 v=64
10440 On ch=1 n=a6 v=64
10440 On ch=1 n=a5 v=64
10536 Off ch=1 n=a5 v=64
10536 Off ch=1 n=a6 v=64
10560 On ch=1 n=b6 v=64
10560 On ch=1 n=b5 v=64
10752 Off ch=1 n=b5 v=64
10752 Off ch=1 n=b6 v=64
