MFile 1 3 240
MTrk
0 TimeSig 3/4 24 8
0 KeySig 0 major
0 Tempo 370370
0 Meta TrkEnd
TrkEnd
MTrk
0 Meta 0x21 00
0 Meta TrkName "Piano"
0 PrCh ch=1 p=0
0 Par ch=1 c=7 v=127
0 Par ch=1 c=10 v=72
360 On ch=1 n=f#6 v=76
360 On ch=1 n=f#5 v=76
456 On ch=1 n=f#5 v=0
456 On ch=1 n=f#6 v=0
480 On ch=1 n=b6 v=76
480 On ch=1 n=b5 v=76
576 On ch=1 n=b5 v=0
576 On ch=1 n=b6 v=0
600 On ch=1 n=c#6 v=76
600 On ch=1 n=c#7 v=76
696 On ch=1 n=c#7 v=0
696 On ch=1 n=c#6 v=0
720 On ch=1 n=d#7 v=76
720 On ch=1 n=d#6 v=76
912 On ch=1 n=d#6 v=0
912 On ch=1 n=d#7 v=0
960 On ch=1 n=f#6 v=76
960 On ch=1 n=f#5 v=76
1152 On ch=1 n=f#5 v=0
1152 On ch=1 n=f#6 v=0
1200 On ch=1 n=d#6 v=76
1200 On ch=1 n=d#7 v=76
1392 On ch=1 n=d#7 v=0
1392 On ch=1 n=d#6 v=0
1440 On ch=1 n=c#7 v=76
1440 On ch=1 n=g#6 v=76
1440 On ch=1 n=e6 v=76
1440 On ch=1 n=c#6 v=76
1632 On ch=1 n=c#6 v=0
1632 On ch=1 n=c#7 v=0
1632 On ch=1 n=g#6 v=0
1632 On ch=1 n=e6 v=0
1680 On ch=1 n=g#6 v=76
1680 On ch=1 n=g#5 v=76
1872 On ch=1 n=g#5 v=0
1872 On ch=1 n=g#6 v=0
1920 On ch=1 n=c#6 v=76
1920 On ch=1 n=c#7 v=76
2112 On ch=1 n=c#7 v=0
2112 On ch=1 n=c#6 v=0
2160 On ch=1 n=b6 v=76
2160 On ch=1 n=f#6 v=76
2160 On ch=1 n=b5 v=76
2256 On ch=1 n=b5 v=0
2256 On ch=1 n=f#6 v=0
2256 On ch=1 n=b6 v=0
2280 On ch=1 n=a#6 v=76
2280 On ch=1 n=a#5 v=76
2376 On ch=1 n=a#5 v=0
2376 On ch=1 n=a#6 v=0
2400 On ch=1 n=g#6 v=76
2400 On ch=1 n=g#5 v=76
2496 On ch=1 n=g#5 v=0
2496 On ch=1 n=g#6 v=0
2520 On ch=1 n=f#6 v=76
2520 On ch=1 n=f#5 v=76
2616 On ch=1 n=f#5 v=0
2616 On ch=1 n=f#6 v=0
2640 On ch=1 n=g#6 v=76
2640 On ch=1 n=g#5 v=76
2736 On ch=1 n=g#5 v=0
2736 On ch=1 n=g#6 v=0
2760 On ch=1 n=a#5 v=76
2760 On ch=1 n=a#6 v=76
2856 On ch=1 n=a#6 v=0
2856 On ch=1 n=a#5 v=0
2880 On ch=1 n=c#7 v=76
2880 On ch=1 n=c#6 v=76
3072 On ch=1 n=c#6 v=0
3072 On ch=1 n=c#7 v=0
3120 On ch=1 n=b6 v=76
3120 On ch=1 n=b5 v=76
3312 On ch=1 n=b5 v=0
3312 On ch=1 n=b6 v=0
3360 On ch=1 n=a5 v=76
3360 On ch=1 n=d#6 v=76
3360 On ch=1 n=f#6 v=76
3360 On ch=1 n=a6 v=76
3552 On ch=1 n=a6 v=0
3552 On ch=1 n=a5 v=0
3552 On ch=1 n=d#6 v=0
3552 On ch=1 n=f#6 v=0
3600 On ch=1 n=g#6 v=76
3600 On ch=1 n=g#5 v=76
3792 On ch=1 n=g#5 v=0
3792 On ch=1 n=g#6 v=0
3840 On ch=1 n=d#6 v=76
3840 On ch=1 n=b5 v=76
4032 On ch=1 n=b5 v=0
4032 On ch=1 n=d#6 v=0
4080 On ch=1 n=g#5 v=76
4080 On ch=1 n=g#6 v=76
4272 On ch=1 n=g#6 v=0
4272 On ch=1 n=g#5 v=0
4320 On ch=1 n=f#6 v=76
4320 On ch=1 n=d#6 v=76
4320 On ch=1 n=f#5 v=76
4512 On ch=1 n=f#5 v=0
4512 On ch=1 n=d#6 v=0
4512 On ch=1 n=f#6 v=0
4560 On ch=1 n=a#5 v=76
4752 On ch=1 n=a#5 v=0
4800 On ch=1 n=f#5 v=76
4800 On ch=1 n=f#6 v=76
4992 On ch=1 n=f#6 v=0
4992 On ch=1 n=f#5 v=0
5040 On ch=1 n=f6 v=76
5040 On ch=1 n=f5 v=76
5136 On ch=1 n=f5 v=0
5136 On ch=1 n=f6 v=0
5160 On ch=1 n=d#6 v=76
5160 On ch=1 n=d#5 v=76
5256 On ch=1 n=d#5 v=0
5256 On ch=1 n=d#6 v=0
5280 On ch=1 n=d6 v=76
5280 On ch=1 n=d5 v=76
5376 On ch=1 n=d5 v=0
5376 On ch=1 n=d6 v=0
5400 On ch=1 n=d#6 v=76
5400 On ch=1 n=d#5 v=76
5496 On ch=1 n=d#5 v=0
5496 On ch=1 n=d#6 v=0
5520 On ch=1 n=f6 v=76
5520 On ch=1 n=f5 v=76
5616 On ch=1 n=f5 v=0
5616 On ch=1 n=f6 v=0
5640 On ch=1 n=f#5 v=76
5640 On ch=1 n=f#6 v=76
5736 On ch=1 n=f#6 v=0
5736 On ch=1 n=f#5 v=0
5760 On ch=1 n=f6 v=76
5760 On ch=1 n=f5 v=76
5856 On ch=1 n=f5 v=0
5856 On ch=1 n=f6 v=0
5880 On ch=1 n=d#6 v=76
5880 On ch=1 n=d#5 v=76
5976 On ch=1 n=d#5 v=0
5976 On ch=1 n=d#6 v=0
6000 On ch=1 n=d6 v=76
6000 On ch=1 n=d5 v=76
6096 On ch=1 n=d5 v=0
6096 On ch=1 n=d6 v=0
6120 On ch=1 n=d#6 v=76
6120 On ch=1 n=d#5 v=76
6216 On ch=1 n=d#5 v=0
6216 On ch=1 n=d#6 v=0
6240 On ch=1 n=f6 v=76
6240 On ch=1 n=f5 v=76
6336 On ch=1 n=f5 v=0
6336 On ch=1 n=f6 v=0
6360 On ch=1 n=f#5 v=76
6360 On ch=1 n=f#6 v=76
6456 On ch=1 n=f#6 v=0
6456 On ch=1 n=f#5 v=0
6480 On ch=1 n=d#7 v=76
6480 On ch=1 n=d#6 v=76
6672 On ch=1 n=d#6 v=0
6672 On ch=1 n=d#7 v=0
6720 On ch=1 n=f#6 v=76
6720 On ch=1 n=f#5 v=76
6912 On ch=1 n=f#5 v=0
6912 On ch=1 n=f#6 v=0
6960 On ch=1 n=d#6 v=76
6960 On ch=1 n=d#7 v=76
7152 On ch=1 n=d#7 v=0
7152 On ch=1 n=d#6 v=0
7200 On ch=1 n=c#7 v=76
7200 On ch=1 n=g#6 v=76
7200 On ch=1 n=e6 v=76
7200 On ch=1 n=c#6 v=76
7392 On ch=1 n=c#6 v=0
7392 On ch=1 n=c#7 v=0
7392 On ch=1 n=g#6 v=0
7392 On ch=1 n=e6 v=0
7440 On ch=1 n=g#6 v=76
7440 On ch=1 n=g#5 v=76
7632 On ch=1 n=g#5 v=0
7632 On ch=1 n=g#6 v=0
7680 On ch=1 n=c#6 v=76
7680 On ch=1 n=c#7 v=76
7872 On ch=1 n=c#7 v=0
7872 On ch=1 n=c#6 v=0
7920 On ch=1 n=b6 v=76
7920 On ch=1 n=f#6 v=76
7920 On ch=1 n=b5 v=76
8016 On ch=1 n=b5 v=0
8016 On ch=1 n=f#6 v=0
8016 On ch=1 n=b6 v=0
8040 On ch=1 n=a#6 v=76
8040 On ch=1 n=a#5 v=76
8136 On ch=1 n=a#5 v=0
8136 On ch=1 n=a#6 v=0
8160 On ch=1 n=g#6 v=76
8160 On ch=1 n=g#5 v=76
8256 On ch=1 n=g#5 v=0
8256 On ch=1 n=g#6 v=0
8280 On ch=1 n=f#6 v=76
8280 On ch=1 n=f#5 v=76
8376 On ch=1 n=f#5 v=0
8376 On ch=1 n=f#6 v=0
8400 On ch=1 n=g#6 v=76
8400 On ch=1 n=g#5 v=76
8496 On ch=1 n=g#5 v=0
8496 On ch=1 n=g#6 v=0
8520 On ch=1 n=a#5 v=76
8520 On ch=1 n=a#6 v=76
8616 On ch=1 n=a#6 v=0
8616 On ch=1 n=a#5 v=0
8640 On ch=1 n=c#7 v=76
8640 On ch=1 n=c#6 v=76
8832 On ch=1 n=c#6 v=0
8832 On ch=1 n=c#7 v=0
8880 On ch=1 n=b6 v=76
8880 On ch=1 n=b5 v=76
9072 On ch=1 n=b5 v=0
9072 On ch=1 n=b6 v=0
9120 On ch=1 n=a#5 v=76
9120 On ch=1 n=d#6 v=76
9120 On ch=1 n=f#6 v=76
9120 On ch=1 n=a#6 v=76
9312 On ch=1 n=a#6 v=0
9312 On ch=1 n=a#5 v=0
9312 On ch=1 n=d#6 v=0
9312 On ch=1 n=f#6 v=0
9360 On ch=1 n=g#6 v=76
9360 On ch=1 n=g#5 v=76
9552 On ch=1 n=g#5 v=0
9552 On ch=1 n=g#6 v=0
9600 On ch=1 n=d#6 v=76
9600 On ch=1 n=b5 v=76
