MFile 1 7 240
MTrk
0 TimeSig 4/4 24 8
0 Tempo 500000
0 Meta Marker "Chopin: Mazurka, Op. 6 No. 3- Vivace"
0 Meta TrkEnd
TrkEnd
MTrk
0 Meta TrkName "Chopin: Op. 6 No. 3"
0 PrCh ch=1 p=0
0 Par ch=1 c=7 v=127
132 Par ch=1 c=64 v=0
136 Par ch=1 c=64 v=0
144 Par ch=1 c=64 v=127
148 Par ch=1 c=64 v=127
502 On ch=1 n=b4 v=66
502 On ch=1 n=e4 v=62
523 Off ch=1 n=e4 v=64
525 Off ch=1 n=b4 v=64
654 On ch=1 n=b4 v=63
654 On ch=1 n=e4 v=67
673 Off ch=1 n=b4 v=64
677 Off ch=1 n=e4 v=64
737 Par ch=1 c=64 v=0
741 Par ch=1 c=64 v=0
802 On ch=1 n=b4 v=88
804 Par ch=1 c=64 v=127
804 On ch=1 n=e4 v=88
808 Par ch=1 c=64 v=127
823 Off ch=1 n=b4 v=64
825 Off ch=1 n=e4 v=64
944 On ch=1 n=b4 v=65
944 On ch=1 n=e4 v=62
966 Off ch=1 n=b4 v=64
968 Off ch=1 n=e4 v=64
1097 On ch=1 n=b4 v=70
1098 On ch=1 n=e4 v=67
1118 Off ch=1 n=b4 v=64
1120 Off ch=1 n=e4 v=64
1240 On ch=1 n=b4 v=89
1242 On ch=1 n=e4 v=88
1264 Off ch=1 n=b4 v=64
1267 Off ch=1 n=e4 v=64
1378 On ch=1 n=b4 v=70
1380 On ch=1 n=e4 v=66
1400 Off ch=1 n=b4 v=64
1403 Off ch=1 n=e4 v=64
1468 Par ch=1 c=64 v=0
1472 Par ch=1 c=64 v=0
1501 Par ch=1 c=64 v=127
1505 Par ch=1 c=64 v=127
1517 On ch=1 n=b4 v=92
1521 On ch=1 n=e4 v=88
1541 Off ch=1 n=b4 v=64
1544 Off ch=1 n=e4 v=64
1657 On ch=1 n=b4 v=66
1657 On ch=1 n=e4 v=61
1676 Off ch=1 n=b4 v=64
1678 Off ch=1 n=e4 v=64
1763 Par ch=1 c=64 v=0
1767 Par ch=1 c=64 v=0
1792 On ch=1 n=b4 v=92
1794 On ch=1 n=e4 v=88
1801 Par ch=1 c=64 v=127
1805 Par ch=1 c=64 v=127
1816 Off ch=1 n=b4 v=64
1817 Off ch=1 n=e4 v=64
1935 On ch=1 n=e4 v=58
1937 On ch=1 n=b4 v=63
1958 Off ch=1 n=e4 v=64
1959 Off ch=1 n=b4 v=64
2070 On ch=1 n=e4 v=83
2073 On ch=1 n=b4 v=88
2098 Off ch=1 n=e4 v=64
